"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -3.6431 0.1617 0.21
"127" "PessimalClass" -3.0462 0.1529 0
"121" "RandomClass_A" -2.7728 0.2366 0.335
"122" "RandomClass_B" -2.7517 0.2561 0.31
"69" "treeBag" -2.7396 0.2679 0.385
"123" "RandomClass_C" -2.7396 0.2679 0.39
"41" "svmRadialCost_C0.01" -2.0603 0.4451 0.4
"51" "svmPoly_d_1_s_0.001" -2.0603 0.4451 0.4
"54" "svmPoly_d_2_s_0.001" -2.0603 0.4451 0.4
"124" "MajorityClass" -2.0603 0.4451 0.4
"57" "svmPoly_d_3_s_0.001" -1.4761 0.5479 0.515
"45" "svmLinear_C0.01" -0.4512 0.729 0.74
"52" "svmPoly_d_1_s_0.01" -0.4512 0.729 0.74
"55" "svmPoly_d_2_s_0.01" -0.4512 0.729 0.74
"58" "svmPoly_d_3_s_0.01" -0.4512 0.729 0.74
"114" "pls_ncomp1" -0.4512 0.729 0.74
"115" "pls_ncomp2" -0.4512 0.729 0.74
"116" "simpls_ncomp1" -0.4512 0.729 0.74
"117" "simpls_ncomp2" -0.4512 0.729 0.74
"28" "mlp_1" -0.1152 0.7874 0.8
"18" "fda_prune2" -0.0948 0.7949 0.8
"70" "bagFDA_prune2" -0.0595 0.8091 0.82
"40" "SMV" -0.0521 0.8122 0.82
"46" "svmLineart_C0.1" -0.0199 0.827 0.84
"56" "svmPoly_d_2_s_0.1" -0.0199 0.827 0.84
"15" "sda_L0.0" -0.0147 0.8296 0.845
"16" "sda_L0.5" -0.0147 0.8296 0.845
"17" "sda_L1.0" -0.0147 0.8296 0.845
"42" "svmRadialCost_C0.1" -0.008 0.8333 0.865
"109" "Ibk_k2" -0.0005 0.8376 0.8
"48" "svmLinear_C2" 0.0047 0.8406 0.86
"53" "svmPoly_d_1_s_0.1" 0.0052 0.8409 0.865
"81" "rrf_mtry2" 0.0121 0.8446 0.815
"82" "rrf_mtry4" 0.0121 0.8446 0.815
"83" "rrf_mtry8" 0.0121 0.8446 0.815
"84" "rrf_mtry16" 0.0121 0.8446 0.815
"85" "rrf_mtry32" 0.0121 0.8446 0.815
"86" "rrf_mtry64" 0.0121 0.8446 0.815
"87" "rrf_mtry128" 0.0121 0.8446 0.815
"47" "svmLinear_C1" 0.0133 0.8452 0.865
"50" "svmLinear_C8" 0.0133 0.8452 0.865
"36" "pcaNNet" 0.0198 0.8482 0.835
"103" "knn_k2" 0.0263 0.8508 0.805
"108" "Ibk_k1" 0.0332 0.8531 0.815
"102" "knn_k1" 0.0346 0.8535 0.82
"27" "rbf" 0.0554 0.8587 0.845
"49" "svmLinear_C4" 0.1576 0.8692 0.87
"126" "OptimalClass" 0.1833 0.8704 1
"110" "Ibk_k3" 0.255 0.873 0.875
"104" "knn_k3" 0.3185 0.8748 0.885
"13" "JRip_Unp" 0.3531 0.8756 0.865
"19" "fda_prune9" 0.4516 0.8778 0.875
"20" "fda_prune17" 0.4516 0.8778 0.875
"118" "gcvEarth_d1" 0.4516 0.8778 0.875
"119" "gcvEarth_d2" 0.4516 0.8778 0.875
"120" "gcvEarth_d3" 0.4516 0.8778 0.875
"88" "cforest_mtry2" 0.4553 0.8779 0.87
"90" "cforest_mtry8" 0.4553 0.8779 0.87
"91" "cforest_mtry16" 0.4553 0.8779 0.87
"21" "mda_subc2" 0.4654 0.878 0.89
"92" "cforest_mtry32" 0.4798 0.8783 0.875
"94" "cforest_mtry128" 0.4798 0.8783 0.875
"89" "cforest_mtry4" 0.4843 0.8784 0.865
"65" "gbm_2_150" 0.5155 0.879 0.875
"68" "gbm_3_150" 0.5786 0.8801 0.88
"67" "gbm_3_100" 0.587 0.8803 0.88
"64" "gbm_2_100" 0.5964 0.8805 0.885
"34" "avNNet_decay01" 0.7004 0.8841 0.885
"1" "c5.0" 0.7027 0.8841 0.88
"2" "c5.0_winnow" 0.7027 0.8841 0.88
"3" "J48" 0.7027 0.8841 0.88
"4" "J48Unp" 0.7027 0.8841 0.88
"9" "ctree_c0.01" 0.7027 0.8841 0.88
"10" "ctree_c0.05" 0.7027 0.8841 0.88
"11" "ctree_c0.99" 0.7027 0.8841 0.88
"12" "JRip" 0.7027 0.8841 0.88
"14" "PART" 0.7027 0.8841 0.88
"93" "cforest_mtry64" 0.7027 0.8841 0.88
"33" "avNNet_decay1e04" 0.7122 0.8843 0.88
"60" "gbm_1_50" 0.7356 0.8847 0.885
"66" "gbm_3_50" 0.7415 0.8848 0.885
"5" "LMT" 0.7549 0.8851 0.885
"6" "LMT_CV" 0.7549 0.8851 0.885
"7" "LMT_AIC" 0.7549 0.8851 0.885
"8" "rpart" 0.7549 0.8851 0.885
"24" "W_NB" 0.7549 0.8851 0.885
"25" "NB" 0.7549 0.8851 0.885
"26" "NB_laplace" 0.7549 0.8851 0.885
"30" "mlp_5" 0.7742 0.8854 0.89
"111" "Ibk_k5" 0.7768 0.8855 0.895
"112" "Ibk_k7" 0.7768 0.8855 0.895
"59" "svmPoly_d_3_s_0.1" 0.9307 0.8885 0.895
"71" "bagFDA_prune4" 0.9398 0.8887 0.885
"32" "mlp_9" 0.9917 0.8896 0.885
"72" "bagFDA_prune8" 1.0081 0.8899 0.885
"95" "parRF_mtry2" 1.0083 0.8899 0.89
"99" "parRF_mtry32" 1.0083 0.8899 0.89
"62" "gbm_1_150" 1.0182 0.89 0.885
"29" "mlp_3" 1.0766 0.8909 0.895
"31" "mlp_7" 1.0766 0.8909 0.895
"97" "parRF_mtry8" 1.3086 0.8948 0.89
"39" "lvq_5" 1.3216 0.8949 0.895
"98" "parRF_mtry16" 1.3334 0.8951 0.89
"96" "parRF_mtry4" 1.3433 0.8952 0.89
"100" "parRF_mtry64" 1.3433 0.8952 0.89
"61" "gbm_1_100" 1.3595 0.8953 0.895
"63" "gbm_2_50" 1.3595 0.8953 0.895
"73" "bagFDA_prune16" 1.3708 0.8954 0.895
"35" "avNNet_decay0" 1.3831 0.8955 0.895
"74" "rf_mtry2" 1.3831 0.8955 0.895
"75" "rf_mtry4" 1.3831 0.8955 0.895
"76" "rf_mtry8" 1.3831 0.8955 0.895
"77" "rf_mtry16" 1.3831 0.8955 0.895
"78" "rf_mtry32" 1.3831 0.8955 0.895
"79" "rf_mtry64" 1.3831 0.8955 0.895
"80" "rf_mtry128" 1.3831 0.8955 0.895
"101" "parRF_mtry128" 1.3831 0.8955 0.895
"22" "mda_subc3" 1.4629 0.896 0.9
"23" "mda_subc4" 1.4629 0.896 0.9
"37" "lvq_1" 1.4629 0.896 0.9
"38" "lvq_3" 1.4629 0.896 0.9
"43" "svmRadialCost_C1" 1.4629 0.896 0.9
"44" "svmRadialCost_C2" 1.4629 0.896 0.9
"105" "knn_k5" 1.4629 0.896 0.9
"106" "knn_k7" 1.4629 0.896 0.9
"107" "knn_k9" 1.4629 0.896 0.9
"113" "Ibk_k9" 1.4629 0.896 0.9
