"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -3.5266 0.1357 0.21
"127" "PessimalClass" -3.1749 0.131 0
"123" "RandomClass_C" -2.7534 0.256 0.32
"122" "RandomClass_B" -2.7511 0.2591 0.34
"69" "treeBag" -2.7493 0.2618 0.365
"121" "RandomClass_A" -2.7473 0.2646 0.31
"41" "svmRadialCost_C0.01" -2.2692 0.4846 0.415
"51" "svmPoly_d_1_s_0.001" -2.2692 0.4846 0.415
"54" "svmPoly_d_2_s_0.001" -2.2692 0.4846 0.415
"124" "MajorityClass" -2.2692 0.4846 0.415
"57" "svmPoly_d_3_s_0.001" -1.5701 0.5609 0.505
"36" "pcaNNet" -0.9363 0.7033 0.795
"45" "svmLinear_C0.01" -0.5222 0.7557 0.76
"52" "svmPoly_d_1_s_0.01" -0.5222 0.7557 0.76
"55" "svmPoly_d_2_s_0.01" -0.5222 0.7557 0.76
"58" "svmPoly_d_3_s_0.01" -0.5222 0.7557 0.76
"114" "pls_ncomp1" -0.5222 0.7557 0.76
"115" "pls_ncomp2" -0.5222 0.7557 0.76
"116" "simpls_ncomp1" -0.5222 0.7557 0.76
"117" "simpls_ncomp2" -0.5222 0.7557 0.76
"28" "mlp_1" -0.2418 0.8134 0.825
"40" "SMV" -0.0025 0.8543 0.865
"18" "fda_prune2" 0.0062 0.8615 0.87
"70" "bagFDA_prune2" 0.0064 0.8617 0.89
"46" "svmLineart_C0.1" 0.0065 0.8617 0.875
"56" "svmPoly_d_2_s_0.1" 0.0065 0.8617 0.875
"103" "knn_k2" 0.0154 0.8672 0.865
"109" "Ibk_k2" 0.0166 0.8678 0.885
"102" "knn_k1" 0.3745 0.8954 0.87
"108" "Ibk_k1" 0.3754 0.8955 0.875
"27" "rbf" 0.3787 0.8957 0.9
"15" "sda_L0.0" 0.3801 0.8957 0.9
"16" "sda_L0.5" 0.3801 0.8957 0.9
"17" "sda_L1.0" 0.3801 0.8957 0.9
"48" "svmLinear_C2" 0.3824 0.8958 0.9
"49" "svmLinear_C4" 0.3824 0.8958 0.9
"50" "svmLinear_C8" 0.3824 0.8958 0.9
"119" "gcvEarth_d2" 0.425 0.8968 0.905
"120" "gcvEarth_d3" 0.425 0.8968 0.905
"47" "svmLinear_C1" 0.5496 0.8993 0.905
"5" "LMT" 0.6086 0.9004 0.9
"13" "JRip_Unp" 0.6148 0.9005 0.91
"7" "LMT_AIC" 0.661 0.9042 0.905
"19" "fda_prune9" 0.6613 0.9043 0.915
"20" "fda_prune17" 0.6613 0.9043 0.915
"1" "c5.0" 0.6617 0.9043 0.915
"2" "c5.0_winnow" 0.6617 0.9043 0.915
"3" "J48" 0.6617 0.9043 0.915
"4" "J48Unp" 0.6617 0.9043 0.915
"9" "ctree_c0.01" 0.6617 0.9043 0.915
"10" "ctree_c0.05" 0.6617 0.9043 0.915
"11" "ctree_c0.99" 0.6617 0.9043 0.915
"12" "JRip" 0.6617 0.9043 0.915
"14" "PART" 0.6617 0.9043 0.91
"88" "cforest_mtry2" 0.6617 0.9043 0.915
"89" "cforest_mtry4" 0.6617 0.9043 0.915
"90" "cforest_mtry8" 0.6617 0.9043 0.915
"91" "cforest_mtry16" 0.6617 0.9043 0.915
"92" "cforest_mtry32" 0.6617 0.9043 0.915
"93" "cforest_mtry64" 0.6617 0.9043 0.915
"94" "cforest_mtry128" 0.6617 0.9043 0.915
"53" "svmPoly_d_1_s_0.1" 0.6619 0.9044 0.92
"113" "Ibk_k9" 0.6619 0.9044 0.92
"112" "Ibk_k7" 0.6781 0.9082 0.925
"39" "lvq_5" 0.6833 0.9097 0.92
"6" "LMT_CV" 0.6911 0.9118 0.92
"34" "avNNet_decay01" 0.6928 0.9122 0.92
"71" "bagFDA_prune4" 0.6933 0.9124 0.92
"29" "mlp_3" 0.6937 0.9125 0.92
"30" "mlp_5" 0.6937 0.9125 0.92
"31" "mlp_7" 0.6937 0.9125 0.92
"32" "mlp_9" 0.6937 0.9125 0.92
"107" "knn_k9" 0.6992 0.9138 0.93
"42" "svmRadialCost_C0.1" 0.7003 0.914 0.925
"110" "Ibk_k3" 0.7007 0.9141 0.92
"38" "lvq_3" 0.7013 0.9142 0.93
"105" "knn_k5" 0.7013 0.9142 0.93
"111" "Ibk_k5" 0.7013 0.9142 0.93
"81" "rrf_mtry2" 0.7336 0.9179 0.875
"82" "rrf_mtry4" 0.7336 0.9179 0.875
"83" "rrf_mtry8" 0.7336 0.9179 0.875
"84" "rrf_mtry16" 0.7336 0.9179 0.875
"85" "rrf_mtry32" 0.7336 0.9179 0.875
"86" "rrf_mtry64" 0.7336 0.9179 0.875
"87" "rrf_mtry128" 0.7336 0.9179 0.875
"64" "gbm_2_100" 0.7591 0.9188 0.9
"72" "bagFDA_prune8" 0.7591 0.9188 0.92
"63" "gbm_2_50" 0.765 0.9189 0.915
"68" "gbm_3_150" 0.7707 0.919 0.905
"61" "gbm_1_100" 0.7732 0.919 0.9
"24" "W_NB" 0.8017 0.9194 0.93
"25" "NB" 0.8017 0.9194 0.93
"26" "NB_laplace" 0.8017 0.9194 0.93
"62" "gbm_1_150" 0.8236 0.9196 0.9
"65" "gbm_2_150" 0.8236 0.9196 0.9
"66" "gbm_3_50" 0.8236 0.9196 0.905
"67" "gbm_3_100" 0.8236 0.9196 0.905
"33" "avNNet_decay1e04" 0.8275 0.9197 0.92
"60" "gbm_1_50" 0.9313 0.9207 0.91
"104" "knn_k3" 0.991 0.9212 0.925
"37" "lvq_1" 1.0126 0.9213 0.93
"118" "gcvEarth_d1" 1.0126 0.9213 0.92
"74" "rf_mtry2" 1.1558 0.9223 0.91
"75" "rf_mtry4" 1.1558 0.9223 0.91
"76" "rf_mtry8" 1.1558 0.9223 0.91
"77" "rf_mtry16" 1.1558 0.9223 0.91
"78" "rf_mtry32" 1.1558 0.9223 0.91
"79" "rf_mtry64" 1.1558 0.9223 0.91
"80" "rf_mtry128" 1.1558 0.9223 0.91
"95" "parRF_mtry2" 1.1558 0.9223 0.91
"96" "parRF_mtry4" 1.1558 0.9223 0.91
"97" "parRF_mtry8" 1.1558 0.9223 0.91
"98" "parRF_mtry16" 1.1558 0.9223 0.91
"99" "parRF_mtry32" 1.1558 0.9223 0.91
