"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -3.1903 0.1412 0.185
"127" "PessimalClass" -3.1903 0.1412 0
"122" "RandomClass_B" -2.1138 0.3056 0.355
"69" "treeBag" -2.0865 0.3161 0.38
"123" "RandomClass_C" -2.0592 0.3269 0.365
"121" "RandomClass_A" -2.0453 0.3324 0.445
"124" "MajorityClass" -1.5477 0.5211 0.41
"41" "svmRadialCost_C0.01" -1.3582 0.5652 0.49
"51" "svmPoly_d_1_s_0.001" -1.3582 0.5652 0.49
"54" "svmPoly_d_2_s_0.001" -1.3582 0.5652 0.49
"57" "svmPoly_d_3_s_0.001" -0.8398 0.7677 0.745
"45" "svmLinear_C0.01" -0.4525 0.819 0.81
"52" "svmPoly_d_1_s_0.01" -0.4525 0.819 0.81
"55" "svmPoly_d_2_s_0.01" -0.4525 0.819 0.81
"58" "svmPoly_d_3_s_0.01" -0.4525 0.819 0.81
"114" "pls_ncomp1" -0.4525 0.819 0.81
"115" "pls_ncomp2" -0.4525 0.819 0.81
"116" "simpls_ncomp1" -0.4525 0.819 0.81
"117" "simpls_ncomp2" -0.4525 0.819 0.81
"28" "mlp_1" -0.0222 0.8513 0.855
"18" "fda_prune2" 0.3915 0.928 0.92
"40" "SMV" 0.4879 0.9393 0.93
"36" "pcaNNet" 0.4986 0.9404 0.945
"42" "svmRadialCost_C0.1" 0.5023 0.9407 0.94
"70" "bagFDA_prune2" 0.5873 0.9476 0.94
"81" "rrf_mtry2" 0.5941 0.9481 0.96
"82" "rrf_mtry4" 0.5941 0.9481 0.96
"83" "rrf_mtry8" 0.5941 0.9481 0.96
"84" "rrf_mtry16" 0.5941 0.9481 0.96
"85" "rrf_mtry32" 0.5941 0.9481 0.96
"86" "rrf_mtry64" 0.5941 0.9481 0.96
"87" "rrf_mtry128" 0.5941 0.9481 0.96
"75" "rf_mtry4" 0.602 0.9487 0.955
"76" "rf_mtry8" 0.602 0.9487 0.955
"77" "rf_mtry16" 0.602 0.9487 0.955
"78" "rf_mtry32" 0.602 0.9487 0.955
"79" "rf_mtry64" 0.602 0.9487 0.955
"95" "parRF_mtry2" 0.602 0.9487 0.955
"97" "parRF_mtry8" 0.602 0.9487 0.955
"46" "svmLineart_C0.1" 0.6107 0.9493 0.94
"56" "svmPoly_d_2_s_0.1" 0.6107 0.9493 0.94
"109" "Ibk_k2" 0.613 0.9494 0.96
"103" "knn_k2" 0.646 0.9516 0.955
"27" "rbf" 0.6786 0.9535 0.955
"102" "knn_k1" 0.6786 0.9535 0.97
"108" "Ibk_k1" 0.6786 0.9535 0.97
"61" "gbm_1_100" 0.7189 0.9556 0.96
"62" "gbm_1_150" 0.7189 0.9556 0.96
"63" "gbm_2_50" 0.7189 0.9556 0.955
"64" "gbm_2_100" 0.7189 0.9556 0.96
"65" "gbm_2_150" 0.7189 0.9556 0.96
"66" "gbm_3_50" 0.7189 0.9556 0.96
"67" "gbm_3_100" 0.7189 0.9556 0.96
"74" "rf_mtry2" 0.7189 0.9556 0.96
"80" "rf_mtry128" 0.7189 0.9556 0.96
"96" "parRF_mtry4" 0.7189 0.9556 0.96
"98" "parRF_mtry16" 0.7189 0.9556 0.96
"99" "parRF_mtry32" 0.7189 0.9556 0.96
"100" "parRF_mtry64" 0.7189 0.9556 0.96
"101" "parRF_mtry128" 0.7189 0.9556 0.96
"15" "sda_L0.0" 0.7216 0.9557 0.945
"16" "sda_L0.5" 0.7216 0.9557 0.945
"17" "sda_L1.0" 0.7216 0.9557 0.945
"53" "svmPoly_d_1_s_0.1" 0.7216 0.9557 0.95
"47" "svmLinear_C1" 0.8168 0.9591 0.945
"48" "svmLinear_C2" 0.8168 0.9591 0.945
"71" "bagFDA_prune4" 0.8174 0.9591 0.95
"104" "knn_k3" 0.8372 0.9596 0.975
"126" "OptimalClass" 0.853 0.9599 1
"38" "lvq_3" 0.8991 0.9606 0.97
"13" "JRip_Unp" 0.9228 0.9608 0.945
"19" "fda_prune9" 0.9253 0.9608 0.95
"20" "fda_prune17" 0.9253 0.9608 0.95
"6" "LMT_CV" 1.0215 0.9614 0.945
"88" "cforest_mtry2" 1.0215 0.9614 0.945
"89" "cforest_mtry4" 1.0215 0.9614 0.945
"90" "cforest_mtry8" 1.0215 0.9614 0.945
"92" "cforest_mtry32" 1.0215 0.9614 0.945
"94" "cforest_mtry128" 1.0215 0.9614 0.945
"91" "cforest_mtry16" 1.0217 0.9614 0.955
"93" "cforest_mtry64" 1.0217 0.9614 0.955
"34" "avNNet_decay01" 1.0237 0.9614 0.95
"59" "svmPoly_d_3_s_0.1" 1.0242 0.9614 0.965
"1" "c5.0" 1.0248 0.9614 0.955
"2" "c5.0_winnow" 1.0248 0.9614 0.955
"3" "J48" 1.0248 0.9614 0.955
"4" "J48Unp" 1.0248 0.9614 0.955
"5" "LMT" 1.0248 0.9614 0.955
"7" "LMT_AIC" 1.0248 0.9614 0.955
"14" "PART" 1.0248 0.9614 0.955
"9" "ctree_c0.01" 1.0254 0.9614 0.97
"10" "ctree_c0.05" 1.0254 0.9614 0.97
"11" "ctree_c0.99" 1.0254 0.9614 0.97
"12" "JRip" 1.0254 0.9614 0.97
"24" "W_NB" 1.0344 0.9615 0.955
"25" "NB" 1.0344 0.9615 0.955
"26" "NB_laplace" 1.0344 0.9615 0.955
"33" "avNNet_decay1e04" 1.0344 0.9615 0.955
"49" "svmLinear_C4" 1.0344 0.9615 0.955
"50" "svmLinear_C8" 1.0344 0.9615 0.955
"118" "gcvEarth_d1" 1.0344 0.9615 0.955
"111" "Ibk_k5" 1.0348 0.9615 0.97
"112" "Ibk_k7" 1.0348 0.9615 0.965
"113" "Ibk_k9" 1.0348 0.9615 0.965
"22" "mda_subc3" 1.0351 0.9615 0.975
"43" "svmRadialCost_C1" 1.0351 0.9615 0.975
"105" "knn_k5" 1.0351 0.9615 0.975
"107" "knn_k9" 1.0351 0.9615 0.975
"8" "rpart" 1.0386 0.9615 0.965
"29" "mlp_3" 1.0386 0.9615 0.965
"30" "mlp_5" 1.0386 0.9615 0.965
"31" "mlp_7" 1.0386 0.9615 0.965
"32" "mlp_9" 1.0386 0.9615 0.965
"35" "avNNet_decay0" 1.0386 0.9615 0.965
"60" "gbm_1_50" 1.0386 0.9615 0.965
"68" "gbm_3_150" 1.0386 0.9615 0.965
"72" "bagFDA_prune8" 1.0386 0.9615 0.965
"73" "bagFDA_prune16" 1.0386 0.9615 0.965
"119" "gcvEarth_d2" 1.0386 0.9615 0.965
"120" "gcvEarth_d3" 1.0386 0.9615 0.965
"21" "mda_subc2" 1.0393 0.9615 0.98
"23" "mda_subc4" 1.0393 0.9615 0.98
"37" "lvq_1" 1.0393 0.9615 0.98
"39" "lvq_5" 1.0393 0.9615 0.98
"44" "svmRadialCost_C2" 1.0393 0.9615 0.98
"106" "knn_k7" 1.0393 0.9615 0.98
"110" "Ibk_k3" 1.0393 0.9615 0.98
