"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -4.1176 0.207 0.245
"127" "PessimalClass" -3.3431 0.1943 0
"122" "RandomClass_B" -3.3255 0.1948 0.31
"69" "treeBag" -2.8092 0.2643 0.37
"121" "RandomClass_A" -2.7744 0.2741 0.33
"123" "RandomClass_C" -2.7249 0.2885 0.39
"41" "svmRadialCost_C0.01" -2.058 0.4208 0.39
"51" "svmPoly_d_1_s_0.001" -2.058 0.4208 0.39
"54" "svmPoly_d_2_s_0.001" -2.058 0.4208 0.39
"124" "MajorityClass" -2.058 0.4208 0.39
"57" "svmPoly_d_3_s_0.001" -1.7918 0.4373 0.415
"45" "svmLinear_C0.01" -0.4938 0.6906 0.705
"52" "svmPoly_d_1_s_0.01" -0.4938 0.6906 0.705
"55" "svmPoly_d_2_s_0.01" -0.4816 0.6913 0.7
"58" "svmPoly_d_3_s_0.01" -0.4816 0.6913 0.7
"114" "pls_ncomp1" -0.4816 0.6913 0.7
"115" "pls_ncomp2" -0.4816 0.6913 0.7
"116" "simpls_ncomp1" -0.4816 0.6913 0.7
"117" "simpls_ncomp2" -0.4816 0.6913 0.7
"28" "mlp_1" -0.0888 0.7639 0.79
"18" "fda_prune2" -0.0585 0.7751 0.795
"70" "bagFDA_prune2" -0.0334 0.786 0.805
"109" "Ibk_k2" -0.0183 0.7929 0.79
"40" "SMV" -0.0054 0.7987 0.83
"46" "svmLineart_C0.1" -0.0054 0.7987 0.83
"56" "svmPoly_d_2_s_0.1" -0.0054 0.7987 0.83
"103" "knn_k2" 0.0155 0.8072 0.76
"108" "Ibk_k1" 0.0363 0.8132 0.76
"102" "knn_k1" 0.0364 0.8132 0.765
"27" "rbf" 0.0464 0.8153 0.805
"15" "sda_L0.0" 0.1659 0.8259 0.84
"16" "sda_L0.5" 0.1659 0.8259 0.84
"17" "sda_L1.0" 0.1659 0.8259 0.84
"42" "svmRadialCost_C0.1" 0.2291 0.8293 0.86
"21" "mda_subc2" 0.3803 0.8359 0.86
"47" "svmLinear_C1" 0.4933 0.8398 0.85
"48" "svmLinear_C2" 0.4933 0.8398 0.85
"49" "svmLinear_C4" 0.4933 0.8398 0.85
"50" "svmLinear_C8" 0.4933 0.8398 0.85
"24" "W_NB" 0.5139 0.8406 0.855
"25" "NB" 0.5139 0.8406 0.855
"26" "NB_laplace" 0.5139 0.8406 0.855
"53" "svmPoly_d_1_s_0.1" 0.5139 0.8406 0.855
"5" "LMT" 0.6161 0.8462 0.85
"7" "LMT_AIC" 0.6161 0.8462 0.85
"19" "fda_prune9" 0.6605 0.8519 0.845
"20" "fda_prune17" 0.6605 0.8519 0.845
"6" "LMT_CV" 0.6671 0.8528 0.865
"34" "avNNet_decay01" 0.6824 0.8547 0.87
"106" "knn_k7" 0.6834 0.8548 0.875
"81" "rrf_mtry2" 0.7108 0.8571 0.8
"82" "rrf_mtry4" 0.7108 0.8571 0.8
"83" "rrf_mtry8" 0.7108 0.8571 0.8
"84" "rrf_mtry16" 0.7108 0.8571 0.8
"85" "rrf_mtry32" 0.7108 0.8571 0.8
"86" "rrf_mtry64" 0.7108 0.8571 0.8
"87" "rrf_mtry128" 0.7108 0.8571 0.8
"59" "svmPoly_d_3_s_0.1" 0.7193 0.8576 0.875
"112" "Ibk_k7" 0.7193 0.8576 0.875
"126" "OptimalClass" 0.7215 0.8578 1
"67" "gbm_3_100" 0.7379 0.8585 0.85
"104" "knn_k3" 0.7388 0.8586 0.85
"36" "pcaNNet" 0.7421 0.8587 0.865
"13" "JRip_Unp" 0.7438 0.8587 0.865
"118" "gcvEarth_d1" 0.7496 0.859 0.84
"62" "gbm_1_150" 0.7586 0.8593 0.83
"119" "gcvEarth_d2" 0.7609 0.8593 0.845
"120" "gcvEarth_d3" 0.7609 0.8593 0.845
"68" "gbm_3_150" 0.763 0.8594 0.83
"110" "Ibk_k3" 0.7794 0.8598 0.87
"65" "gbm_2_150" 0.7805 0.8599 0.835
"61" "gbm_1_100" 0.7967 0.8603 0.845
"64" "gbm_2_100" 0.8333 0.861 0.85
"71" "bagFDA_prune4" 0.8636 0.8615 0.86
"89" "cforest_mtry4" 0.8689 0.8616 0.86
"92" "cforest_mtry32" 0.8689 0.8616 0.86
"99" "parRF_mtry32" 0.8784 0.8618 0.845
"101" "parRF_mtry128" 0.8885 0.8619 0.845
"60" "gbm_1_50" 0.8923 0.862 0.865
"14" "PART" 0.9093 0.8622 0.855
"66" "gbm_3_50" 0.926 0.8624 0.86
"88" "cforest_mtry2" 0.9677 0.863 0.865
"93" "cforest_mtry64" 0.9677 0.863 0.865
"94" "cforest_mtry128" 0.9677 0.863 0.865
"75" "rf_mtry4" 0.9784 0.8631 0.85
"78" "rf_mtry32" 0.9784 0.8631 0.85
"80" "rf_mtry128" 0.9784 0.8631 0.85
"95" "parRF_mtry2" 0.9784 0.8631 0.85
"96" "parRF_mtry4" 0.9784 0.8631 0.85
"97" "parRF_mtry8" 0.9784 0.8631 0.85
"100" "parRF_mtry64" 0.9784 0.8631 0.85
"105" "knn_k5" 1.0372 0.8638 0.875
"74" "rf_mtry2" 1.0491 0.8639 0.855
"76" "rf_mtry8" 1.0491 0.8639 0.855
"77" "rf_mtry16" 1.0491 0.8639 0.855
"79" "rf_mtry64" 1.0491 0.8639 0.855
"98" "parRF_mtry16" 1.0491 0.8639 0.855
"39" "lvq_5" 1.0902 0.8643 0.87
"1" "c5.0" 1.1611 0.865 0.87
"2" "c5.0_winnow" 1.1611 0.865 0.87
"3" "J48" 1.1611 0.865 0.87
"4" "J48Unp" 1.1611 0.865 0.87
"9" "ctree_c0.01" 1.1611 0.865 0.87
"10" "ctree_c0.05" 1.1611 0.865 0.87
"11" "ctree_c0.99" 1.1611 0.865 0.87
"12" "JRip" 1.1611 0.865 0.87
"90" "cforest_mtry8" 1.1611 0.865 0.87
"91" "cforest_mtry16" 1.1611 0.865 0.87
"63" "gbm_2_50" 1.1785 0.8651 0.87
"22" "mda_subc3" 1.3943 0.867 0.875
"72" "bagFDA_prune8" 1.4979 0.8679 0.875
"23" "mda_subc4" 1.7407 0.8699 0.875
"8" "rpart" 1.8443 0.8708 0.88
"37" "lvq_1" 1.8443 0.8708 0.88
