"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -3.5372 0.1887 0.22
"127" "PessimalClass" -3.194 0.1834 0
"123" "RandomClass_C" -2.7659 0.2694 0.35
"69" "treeBag" -2.7465 0.2837 0.365
"122" "RandomClass_B" -2.7446 0.2851 0.375
"121" "RandomClass_A" -2.7421 0.2869 0.34
"41" "svmRadialCost_C0.01" -2.2577 0.422 0.405
"51" "svmPoly_d_1_s_0.001" -2.2577 0.422 0.405
"54" "svmPoly_d_2_s_0.001" -2.2577 0.422 0.405
"57" "svmPoly_d_3_s_0.001" -2.2577 0.422 0.405
"124" "MajorityClass" -2.2577 0.422 0.405
"45" "svmLinear_C0.01" -0.0535 0.6582 0.67
"52" "svmPoly_d_1_s_0.01" -0.0535 0.6582 0.67
"55" "svmPoly_d_2_s_0.01" -0.0535 0.6582 0.67
"58" "svmPoly_d_3_s_0.01" -0.0535 0.6582 0.67
"114" "pls_ncomp1" -0.0535 0.6582 0.67
"115" "pls_ncomp2" -0.0535 0.6582 0.67
"116" "simpls_ncomp1" -0.0535 0.6582 0.67
"117" "simpls_ncomp2" -0.0535 0.6582 0.67
"40" "SMV" -0.025 0.661 0.68
"18" "fda_prune2" -0.0101 0.6631 0.685
"70" "bagFDA_prune2" -0.0091 0.6633 0.685
"46" "svmLineart_C0.1" 0.0366 0.6747 0.72
"56" "svmPoly_d_2_s_0.1" 0.0366 0.6747 0.72
"28" "mlp_1" 0.0394 0.6754 0.7
"15" "sda_L0.0" 0.2521 0.6985 0.745
"16" "sda_L0.5" 0.2521 0.6985 0.745
"17" "sda_L1.0" 0.2521 0.6985 0.745
"109" "Ibk_k2" 0.349 0.7325 0.735
"47" "svmLinear_C1" 0.6243 0.7701 0.785
"48" "svmLinear_C2" 0.6495 0.7819 0.795
"49" "svmLinear_C4" 0.6495 0.7819 0.795
"50" "svmLinear_C8" 0.6495 0.7819 0.795
"25" "NB" 0.6545 0.7846 0.795
"26" "NB_laplace" 0.6545 0.7846 0.795
"21" "mda_subc2" 0.661 0.7882 0.79
"24" "W_NB" 0.6629 0.7893 0.8
"53" "svmPoly_d_1_s_0.1" 0.6629 0.7893 0.8
"103" "knn_k2" 0.6644 0.7901 0.725
"102" "knn_k1" 0.667 0.7915 0.71
"108" "Ibk_k1" 0.6673 0.7917 0.72
"104" "knn_k3" 0.6741 0.7951 0.795
"27" "rbf" 0.6751 0.7956 0.75
"110" "Ibk_k3" 0.6752 0.7957 0.8
"79" "rf_mtry64" 0.6775 0.7967 0.78
"81" "rrf_mtry2" 0.6827 0.7989 0.73
"82" "rrf_mtry4" 0.6827 0.7989 0.73
"83" "rrf_mtry8" 0.6827 0.7989 0.73
"84" "rrf_mtry16" 0.6827 0.7989 0.73
"85" "rrf_mtry32" 0.6827 0.7989 0.73
"86" "rrf_mtry64" 0.6827 0.7989 0.73
"87" "rrf_mtry128" 0.6827 0.7989 0.73
"95" "parRF_mtry2" 0.6834 0.7992 0.79
"76" "rf_mtry8" 0.6837 0.7993 0.795
"98" "parRF_mtry16" 0.6841 0.7994 0.8
"42" "svmRadialCost_C0.1" 0.6858 0.8001 0.81
