"methods" "abil" "avgProbs" "accuracy"
"122" "RandomClass_B" -24.5235 0.1398 0.34
"125" "MinorityClass" -3.9909 0.1481 0.22
"127" "PessimalClass" -3.2471 0.1226 0
"121" "RandomClass_A" -2.7607 0.2333 0.345
"69" "treeBag" -2.7582 0.2379 0.355
"123" "RandomClass_C" -2.7438 0.2667 0.37
"41" "svmRadialCost_C0.01" -2.298 0.4474 0.4
"51" "svmPoly_d_1_s_0.001" -2.298 0.4474 0.4
"54" "svmPoly_d_2_s_0.001" -2.298 0.4474 0.4
"124" "MajorityClass" -2.298 0.4474 0.4
"57" "svmPoly_d_3_s_0.001" -1.6199 0.5642 0.515
"45" "svmLinear_C0.01" -0.4132 0.7409 0.74
"52" "svmPoly_d_1_s_0.01" -0.4132 0.7409 0.74
"55" "svmPoly_d_2_s_0.01" -0.4132 0.7409 0.74
"58" "svmPoly_d_3_s_0.01" -0.4132 0.7409 0.74
"114" "pls_ncomp1" -0.4132 0.7409 0.74
"115" "pls_ncomp2" -0.4132 0.7409 0.74
"116" "simpls_ncomp1" -0.4132 0.7409 0.74
"117" "simpls_ncomp2" -0.4132 0.7409 0.74
"28" "mlp_1" -0.2745 0.7967 0.805
"70" "bagFDA_prune2" 0 0.8261 0.865
"18" "fda_prune2" 0.1188 0.8375 0.865
"40" "SMV" 0.1207 0.8377 0.87
"46" "svmLineart_C0.1" 0.1207 0.8377 0.87
"56" "svmPoly_d_2_s_0.1" 0.1207 0.8377 0.87
"81" "rrf_mtry2" 0.2226 0.8478 0.855
"82" "rrf_mtry4" 0.2226 0.8478 0.855
"83" "rrf_mtry8" 0.2226 0.8478 0.855
"84" "rrf_mtry16" 0.2226 0.8478 0.855
"85" "rrf_mtry32" 0.2226 0.8478 0.855
"86" "rrf_mtry64" 0.2226 0.8478 0.855
"87" "rrf_mtry128" 0.2226 0.8478 0.855
"27" "rbf" 0.2368 0.8486 0.87
"47" "svmLinear_C1" 0.6634 0.8713 0.885
"15" "sda_L0.0" 0.668 0.8773 0.89
"16" "sda_L0.5" 0.668 0.8773 0.89
"17" "sda_L1.0" 0.668 0.8773 0.89
"49" "svmLinear_C4" 0.6704 0.881 0.895
"48" "svmLinear_C2" 0.673 0.8853 0.9
"50" "svmLinear_C8" 0.673 0.8853 0.9
"24" "W_NB" 0.6756 0.8898 0.905
"25" "NB" 0.6756 0.8898 0.905
"26" "NB_laplace" 0.6756 0.8898 0.905
"53" "svmPoly_d_1_s_0.1" 0.6756 0.8898 0.905
"109" "Ibk_k2" 0.6908 0.9015 0.86
"103" "knn_k2" 0.6912 0.9016 0.84
"108" "Ibk_k1" 0.6918 0.9017 0.85
"102" "knn_k1" 0.6923 0.9017 0.855
"42" "svmRadialCost_C0.1" 0.6962 0.902 0.91
"126" "OptimalClass" 0.7064 0.9024 1
"68" "gbm_3_150" 0.856 0.9059 0.905
"67" "gbm_3_100" 0.9106 0.907 0.91
"5" "LMT" 0.9466 0.9076 0.91
"97" "parRF_mtry8" 0.9535 0.9078 0.89
"98" "parRF_mtry16" 0.9535 0.9078 0.89
"21" "mda_subc2" 0.9558 0.9078 0.92
"59" "svmPoly_d_3_s_0.1" 0.9558 0.9078 0.92
"110" "Ibk_k3" 0.9558 0.9078 0.92
"111" "Ibk_k5" 0.9558 0.9078 0.92
"112" "Ibk_k7" 0.9558 0.9078 0.92
"113" "Ibk_k9" 0.9558 0.9078 0.92
"65" "gbm_2_150" 0.9726 0.9081 0.91
"79" "rf_mtry64" 1.0176 0.9088 0.895
"14" "PART" 1.0655 0.9095 0.91
"62" "gbm_1_150" 1.0783 0.9097 0.915
"75" "rf_mtry4" 1.0968 0.91 0.895
"76" "rf_mtry8" 1.0968 0.91 0.895
"77" "rf_mtry16" 1.0968 0.91 0.895
"78" "rf_mtry32" 1.0968 0.91 0.895
"80" "rf_mtry128" 1.0968 0.91 0.895
"95" "parRF_mtry2" 1.0968 0.91 0.895
"96" "parRF_mtry4" 1.0968 0.91 0.895
"99" "parRF_mtry32" 1.0968 0.91 0.895
"100" "parRF_mtry64" 1.0968 0.91 0.895
"104" "knn_k3" 1.1278 0.9104 0.915
"1" "c5.0" 1.1389 0.9105 0.915
"2" "c5.0_winnow" 1.1389 0.9105 0.915
"3" "J48" 1.1389 0.9105 0.915
"4" "J48Unp" 1.1389 0.9105 0.915
"6" "LMT_CV" 1.1389 0.9105 0.915
"7" "LMT_AIC" 1.1389 0.9105 0.915
"9" "ctree_c0.01" 1.1389 0.9105 0.915
"10" "ctree_c0.05" 1.1389 0.9105 0.915
"11" "ctree_c0.99" 1.1389 0.9105 0.915
"12" "JRip" 1.1389 0.9105 0.915
"13" "JRip_Unp" 1.1389 0.9105 0.91
"88" "cforest_mtry2" 1.1389 0.9105 0.915
"89" "cforest_mtry4" 1.1389 0.9105 0.915
"90" "cforest_mtry8" 1.1389 0.9105 0.915
"91" "cforest_mtry16" 1.1389 0.9105 0.915
"92" "cforest_mtry32" 1.1389 0.9105 0.915
"93" "cforest_mtry64" 1.1389 0.9105 0.915
"94" "cforest_mtry128" 1.1389 0.9105 0.915
"23" "mda_subc4" 1.1621 0.9108 0.92
"36" "pcaNNet" 1.1773 0.911 0.915
"101" "parRF_mtry128" 1.1813 0.911 0.9
"74" "rf_mtry2" 1.2092 0.9114 0.9
"33" "avNNet_decay1e04" 1.4074 0.9133 0.915
"35" "avNNet_decay0" 1.4522 0.9137 0.91
"29" "mlp_3" 1.4739 0.9138 0.91
"30" "mlp_5" 1.4739 0.9138 0.91
"31" "mlp_7" 1.4739 0.9138 0.91
"32" "mlp_9" 1.4739 0.9138 0.91
"19" "fda_prune9" 1.4901 0.914 0.91
"20" "fda_prune17" 1.4901 0.914 0.91
"118" "gcvEarth_d1" 1.4901 0.914 0.91
"119" "gcvEarth_d2" 1.4901 0.914 0.91
"120" "gcvEarth_d3" 1.4901 0.914 0.91
"22" "mda_subc3" 1.5719 0.9145 0.925
"37" "lvq_1" 1.5719 0.9145 0.925
"38" "lvq_3" 1.5719 0.9145 0.925
"39" "lvq_5" 1.5719 0.9145 0.925
"43" "svmRadialCost_C1" 1.5719 0.9145 0.925
"44" "svmRadialCost_C2" 1.5719 0.9145 0.925
"61" "gbm_1_100" 1.5719 0.9145 0.92
"71" "bagFDA_prune4" 1.5719 0.9145 0.925
"105" "knn_k5" 1.5719 0.9145 0.925
"106" "knn_k7" 1.5719 0.9145 0.925
"107" "knn_k9" 1.5719 0.9145 0.925
"8" "rpart" 1.6287 0.9149 0.915
"34" "avNNet_decay01" 1.6287 0.9149 0.915
"60" "gbm_1_50" 1.6287 0.9149 0.915
"63" "gbm_2_50" 1.6287 0.9149 0.915
"64" "gbm_2_100" 1.6287 0.9149 0.915
"66" "gbm_3_50" 1.6287 0.9149 0.915
"72" "bagFDA_prune8" 1.6287 0.9149 0.915
"73" "bagFDA_prune16" 1.6287 0.9149 0.915
