"methods" "abil" "avgProbs" "accuracy"
"125" "MinorityClass" -2.7971 0.1243 0.195
"127" "PessimalClass" -2.5382 0.119 0
"123" "RandomClass_C" -2.0526 0.2728 0.395
"69" "treeBag" -2.049 0.2911 0.38
"122" "RandomClass_B" -2.0489 0.2916 0.385
"121" "RandomClass_A" -2.046 0.3069 0.375
"124" "MajorityClass" -1.6529 0.5044 0.405
"41" "svmRadialCost_C0.01" -1.1251 0.5296 0.485
"51" "svmPoly_d_1_s_0.001" -1.1251 0.5296 0.485
"54" "svmPoly_d_2_s_0.001" -1.1251 0.5296 0.485
"57" "svmPoly_d_3_s_0.001" -0.6424 0.7199 0.705
"45" "svmLinear_C0.01" -0.1869 0.7932 0.78
"52" "svmPoly_d_1_s_0.01" -0.1869 0.7932 0.78
"55" "svmPoly_d_2_s_0.01" -0.1869 0.7932 0.78
"58" "svmPoly_d_3_s_0.01" -0.1869 0.7932 0.78
"114" "pls_ncomp1" -0.1869 0.7932 0.78
"115" "pls_ncomp2" -0.1869 0.7932 0.78
"116" "simpls_ncomp1" -0.1869 0.7932 0.78
"117" "simpls_ncomp2" -0.1869 0.7932 0.78
"28" "mlp_1" 0.2322 0.8191 0.835
"36" "pcaNNet" 0.5132 0.8437 0.91
"70" "bagFDA_prune2" 0.6694 0.8663 0.875
"18" "fda_prune2" 0.6746 0.8853 0.895
"40" "SMV" 0.6748 0.8862 0.895
"46" "svmLineart_C0.1" 0.6748 0.8862 0.895
"56" "svmPoly_d_2_s_0.1" 0.6748 0.8862 0.895
"42" "svmRadialCost_C0.1" 0.6815 0.9023 0.915
"81" "rrf_mtry2" 0.6939 0.9061 0.92
"82" "rrf_mtry4" 0.6939 0.9061 0.92
"83" "rrf_mtry8" 0.6939 0.9061 0.92
"84" "rrf_mtry16" 0.6939 0.9061 0.92
"85" "rrf_mtry32" 0.6939 0.9061 0.92
"86" "rrf_mtry64" 0.6939 0.9061 0.92
"87" "rrf_mtry128" 0.6939 0.9061 0.92
"15" "sda_L0.0" 0.8757 0.9095 0.915
"16" "sda_L0.5" 0.8757 0.9095 0.915
"17" "sda_L1.0" 0.8757 0.9095 0.915
"47" "svmLinear_C1" 0.8757 0.9095 0.915
"48" "svmLinear_C2" 0.8757 0.9095 0.915
"49" "svmLinear_C4" 0.8757 0.9095 0.915
"53" "svmPoly_d_1_s_0.1" 0.8757 0.9095 0.925
"5" "LMT" 0.8912 0.9142 0.925
"34" "avNNet_decay01" 1.1224 0.917 0.93
"50" "svmLinear_C8" 1.1224 0.917 0.92
"27" "rbf" 1.1415 0.9214 0.925
"63" "gbm_2_50" 1.1431 0.9214 0.94
"7" "LMT_AIC" 1.1462 0.9215 0.93
"13" "JRip_Unp" 1.1977 0.9219 0.93
"110" "Ibk_k3" 1.2475 0.9223 0.945
"71" "bagFDA_prune4" 1.3443 0.9296 0.935
"24" "W_NB" 1.3525 0.9349 0.94
"25" "NB" 1.3525 0.9349 0.94
"26" "NB_laplace" 1.3525 0.9349 0.94
"59" "svmPoly_d_3_s_0.1" 1.3525 0.9349 0.94
"6" "LMT_CV" 1.3554 0.9371 0.94
"118" "gcvEarth_d1" 1.3554 0.9371 0.94
"113" "Ibk_k9" 1.357 0.939 0.945
"1" "c5.0" 1.3571 0.939 0.94
"2" "c5.0_winnow" 1.3571 0.939 0.94
"3" "J48" 1.3571 0.939 0.94
"4" "J48Unp" 1.3571 0.939 0.94
"9" "ctree_c0.01" 1.3571 0.939 0.94
"10" "ctree_c0.05" 1.3571 0.939 0.94
"11" "ctree_c0.99" 1.3571 0.939 0.94
"12" "JRip" 1.3571 0.939 0.94
"14" "PART" 1.3571 0.939 0.94
"88" "cforest_mtry2" 1.3571 0.939 0.94
"89" "cforest_mtry4" 1.3571 0.939 0.94
"90" "cforest_mtry8" 1.3571 0.939 0.94
"91" "cforest_mtry16" 1.3571 0.939 0.94
"92" "cforest_mtry32" 1.3571 0.939 0.94
"93" "cforest_mtry64" 1.3571 0.939 0.94
"94" "cforest_mtry128" 1.3571 0.939 0.94
"22" "mda_subc3" 1.3575 0.9395 0.945
"109" "Ibk_k2" 1.3612 0.9453 0.93
"21" "mda_subc2" 1.3613 0.9454 0.95
"23" "mda_subc4" 1.3613 0.9454 0.95
"37" "lvq_1" 1.3613 0.9454 0.95
"106" "knn_k7" 1.3613 0.9454 0.95
"111" "Ibk_k5" 1.3613 0.9454 0.95
"112" "Ibk_k7" 1.3613 0.9454 0.95
"103" "knn_k2" 1.3704 0.9494 0.935
"126" "OptimalClass" 1.3711 0.9494 1
"102" "knn_k1" 1.3712 0.9494 0.935
"108" "Ibk_k1" 1.3719 0.9495 0.94
"64" "gbm_2_100" 1.3722 0.9495 0.945
"68" "gbm_3_150" 1.3728 0.9495 0.945
"62" "gbm_1_150" 1.3735 0.9495 0.94
